,repository_name,commit_hash,commit_author,bugs,commit_month,commit_day,commit_hour,commit_message_len,word_fives
0,1,2995436354,1,4,6,12,14.4,38,0
1,1,1133206605,1,3,6,12,11.9,25,0
2,1,2389593905,1,4,6,11,15.3,37,30
3,1,1577670310,1,3,6,11,10.7,28,0
4,1,3119821836,1,7,6,11,9.4,56,0
5,1,1331640131,2,6,6,11,9.2,66,4
6,1,614538304,1,4,6,10,15.6,36,0
7,1,847759178,1,4,6,10,15.6,37,4
8,1,3347927431,1,2,6,10,15.4,14,0
9,1,3165945440,1,5,6,10,14.9,48,14
10,1,3989619317,1,2,6,10,14.5,20,0
11,1,2108532120,2,1,6,10,13.8,15,32
12,1,1935209110,1,11,6,10,13.1,86,0
13,1,3490334263,1,10,6,10,12.8,77,0
14,1,355901695,1,5,6,10,11.2,41,14
15,1,540908706,1,7,6,10,10.3,52,0
16,1,3986832704,1,4,6,10,10.2,46,0
17,1,2426649799,1,2,6,10,8.6,22,0
18,1,2836800489,1,4,6,9,17.6,27,0
19,1,3686136937,1,6,6,5,17.2,55,0
20,1,3762470802,1,4,6,4,16.3,21,0
21,1,3966398208,1,2,6,3,12.0,15,4
22,1,4046538141,1,3,6,3,11.9,32,0
23,1,1132733884,1,2,6,2,12.7,24,14
24,1,1657731952,1,3,6,2,12.4,24,0
25,1,2592990113,1,3,3,22,13.7,16,0
26,1,1473797648,1,3,3,22,13.2,12,0
27,1,3860144453,1,5,3,22,13.0,21,0
28,1,1039011251,1,8,3,21,12.9,31,0
29,1,3988375022,1,4,3,21,10.7,21,0
30,1,2650491884,1,6,3,9,16.3,27,0
31,1,2465752282,1,7,3,9,16.2,33,8
32,1,2786794505,1,6,3,9,16.2,30,47
33,1,521225457,1,4,3,9,16.2,31,0
34,1,3681078821,1,7,3,9,14.6,41,0
35,1,2944149366,1,9,3,8,17.8,41,0
36,1,3142903014,1,12,3,8,17.4,38,36
37,1,2830456121,1,3,3,8,17.3,16,1
38,1,700076369,1,12,3,8,17.3,40,36
39,1,3215004975,1,6,3,8,15.6,32,0
40,1,2044412411,1,3,3,8,14.4,14,43
41,2,1385287551,3,1,5,21,16.1,8,5
42,2,3104108582,3,0,5,21,16.1,15,0
43,2,1572774985,3,3,5,21,15.8,24,4
44,2,1589750151,1,6,5,18,6.1,45,14
45,2,1806091031,3,3,5,15,23.4,25,11
46,2,3231114687,3,3,5,15,23.4,38,4
47,2,3990021997,3,3,5,14,15.1,28,35
48,2,3836970163,1,3,5,14,14.8,25,0
49,2,2545926999,3,2,5,14,13.2,12,27
50,2,932530010,3,3,5,14,13.1,25,11
51,2,3900789997,3,1,5,14,13.0,6,43
52,2,2542136081,1,1,5,13,16.6,21,0
53,2,2262912669,1,5,5,13,13.6,48,4
54,2,1013686901,1,5,5,12,17.3,51,23
55,2,2728296956,3,2,5,8,9.0,14,3
56,2,2460624764,3,3,5,7,15.1,24,4
57,2,406533399,1,4,5,6,16.8,36,0
58,2,2162659118,1,4,5,5,16.0,28,5
59,2,3955584236,3,2,5,5,12.5,21,3
60,2,1725515178,3,7,5,5,12.4,56,0
61,2,912740552,1,2,5,5,10.0,17,5
62,2,3026101759,1,2,5,1,14.7,13,5
63,2,3552361999,1,2,5,1,14.1,13,5
64,2,3011934542,3,3,5,1,12.5,28,0
65,2,1403455270,1,2,5,1,11.8,21,5
66,2,1603523559,1,4,5,1,11.6,36,0
67,2,2717919176,1,4,5,1,11.3,28,4
68,2,689791408,3,3,5,1,8.0,34,4
69,2,703273781,3,2,4,30,17.3,14,43
70,3,2323248218,1,1,6,9,12.1,11,0
71,3,2687117551,1,3,6,8,7.9,31,0
72,3,3123588685,1,2,6,5,16.6,20,1
73,3,3179097068,1,3,6,5,11.9,29,32
74,3,3504106812,1,2,5,27,12.2,17,1
75,3,2650973817,1,3,5,22,16.1,28,0
76,3,3181862056,1,4,5,22,15.6,43,0
77,3,1544893085,1,4,5,22,14.9,42,0
78,3,1917035574,1,3,5,22,11.9,30,0
79,3,2598070223,1,5,5,20,15.7,43,0
80,3,498647216,1,5,5,20,14.6,44,32
81,3,713612467,1,2,5,20,13.4,16,0
82,3,1021934979,1,2,5,19,18.6,21,0
83,3,3706378773,1,2,5,19,16.8,14,43
84,4,3724002647,3,2,6,12,9.8,31,14
85,4,2924714567,3,2,6,11,16.0,23,6
86,4,874340630,3,2,6,11,10.8,20,2
87,4,3735264294,3,3,6,10,16.5,26,5
88,4,3005546164,3,1,6,10,15.8,14,41
89,4,1508879382,3,2,6,10,10.3,15,6
90,4,4117193348,3,1,6,4,21.3,8,5
91,4,3577856947,3,3,6,4,21.1,30,6
92,4,1650675729,3,3,6,4,18.3,39,37
93,4,1480646191,3,0,5,29,10.9,20,5
94,4,983974494,3,4,5,29,9.6,49,4
95,4,2920039242,3,1,5,21,13.5,21,3
96,4,1976027496,1,9,5,14,15.1,74,35
97,4,2925079518,1,4,5,14,14.0,30,0
98,4,1963557565,1,8,5,13,12.9,70,14
99,4,2001833081,1,4,5,8,16.3,39,18
100,4,3853633692,1,2,5,7,10.0,23,30
101,4,2161480501,1,2,5,6,15.7,17,3
102,4,3056366835,3,1,5,1,22.8,17,3
103,4,2131154186,1,4,5,1,16.7,35,0
104,4,2142599383,1,2,5,1,13.9,22,0
105,4,4285770440,1,4,5,1,13.7,40,0
106,4,1533973022,1,3,5,1,13.5,31,0
107,4,811682704,1,2,5,1,13.4,23,4
108,4,4197987661,1,5,5,1,13.1,43,0
109,4,950955508,3,2,5,1,11.4,27,37
110,4,3515414708,3,4,5,1,9.3,49,18
111,4,3181503096,1,2,4,30,17.9,23,18
112,4,941453642,1,4,4,30,13.0,29,31
113,4,3589023703,1,4,4,30,11.7,37,14
114,4,2910562739,1,5,4,29,10.7,47,0
115,4,2717202488,4,4,4,24,18.7,31,0
116,4,1029211950,4,4,4,24,18.5,41,0
117,4,3578162321,4,1,4,24,15.7,4,28
118,4,3954115238,4,2,4,24,15.3,20,0
119,4,1945878964,1,2,4,24,14.5,25,23
120,4,510398663,4,2,4,24,14.1,22,0
121,4,2300930953,4,1,4,24,13.8,9,0
122,4,795104907,3,5,4,24,9.7,46,31
123,4,3388718381,1,3,4,20,12.4,20,0
124,4,1305832476,5,2,4,17,17.6,27,18
125,4,1638700576,5,3,4,17,14.2,28,0
126,4,2796856773,5,2,4,17,13.4,21,1
127,4,4197045694,5,4,4,15,17.1,38,0
128,4,2566359648,5,6,4,15,17.0,47,7
129,4,2369775419,5,2,4,15,16.6,26,1
130,4,3571208364,5,4,4,15,15.8,34,40
131,4,1841621804,5,2,4,15,13.9,22,2
132,4,3521680998,5,8,4,15,13.6,63,2
133,4,3915058996,5,4,4,14,15.8,31,7
134,4,3862405732,5,1,4,14,14.9,18,0
135,4,2601472391,5,4,4,13,12.9,37,8
136,4,3486487898,5,4,4,10,16.4,41,2
137,4,2460751709,5,4,4,10,16.2,42,9
138,4,3732541872,5,2,4,10,11.0,16,0
139,4,551505215,5,2,4,10,11.0,20,1
140,4,2986798704,5,7,4,9,13.5,59,27
141,4,1359714453,5,4,4,9,13.2,28,6
142,4,3082887969,5,5,4,9,12.6,32,6
143,4,3691170488,5,0,4,9,12.6,47,36
144,4,47052428,5,5,4,9,11.7,38,7
145,4,3962323051,5,5,4,8,13.8,57,15
146,4,139302104,6,7,4,8,11.8,63,37
147,4,2780515369,6,3,4,7,16.2,35,23
148,4,603462712,5,4,4,7,9.3,29,15
149,4,1161619230,5,2,4,6,18.4,11,3
150,4,2199554926,5,6,4,6,16.6,74,7
151,4,394066867,5,3,4,6,14.5,19,41
152,4,2230106814,5,5,4,6,12.4,36,13
153,4,2292294840,5,2,4,3,16.9,19,1
154,4,722683288,5,3,4,3,12.2,25,1
155,4,873475356,5,3,4,2,16.5,28,0
156,4,3641242902,5,2,4,2,16.2,21,0
157,4,2544027724,5,4,4,2,13.7,29,1
158,4,1153081855,5,2,4,1,16.6,22,0
159,4,2007823495,5,2,4,1,16.5,23,0
160,4,1595044018,5,2,4,1,14.7,10,17
161,4,979247075,6,3,4,1,14.1,32,4
162,4,1270120307,5,0,4,1,13.6,41,5
163,4,2384376906,7,2,3,23,15.9,15,9
164,4,349162497,7,2,3,23,15.8,13,29
165,4,2156216791,7,3,3,23,15.0,20,0
166,4,2042546983,7,2,3,23,14.9,27,29
167,4,717848278,7,2,3,23,10.7,9,21
168,4,3521637340,7,2,3,22,11.2,12,21
169,4,66523393,7,3,3,22,11.1,26,0
170,4,712271653,7,4,3,22,10.0,27,0
171,4,948650752,7,3,3,21,17.1,16,0
172,4,2493516063,7,2,3,21,16.9,13,0
173,4,3598871975,7,2,3,20,17.4,22,3
174,4,1459707934,7,2,3,20,17.1,11,0
175,4,3928753364,7,2,3,20,16.2,26,0
176,4,1782579855,7,2,3,20,14.8,14,0
177,4,2325339332,7,6,3,20,10.5,52,10
178,4,1198661692,7,4,3,20,10.4,30,27
179,4,4144969157,7,2,3,20,10.4,16,0
180,4,51608672,7,2,3,16,18.3,13,0
181,4,2469701227,7,2,3,16,16.8,18,0
182,4,1102055124,7,2,3,16,16.6,13,1
183,4,3595655391,7,3,3,16,15.9,22,28
184,4,2814887249,7,2,3,16,15.3,17,0
185,4,1651449840,7,2,3,16,15.1,12,0
186,4,3852720597,7,2,3,16,14.1,22,8
187,4,2625430569,7,2,3,15,17.0,10,1
188,4,917813181,7,3,3,15,17.0,24,1
189,4,3531821961,7,3,3,14,11.8,17,13
190,4,411748491,7,3,3,14,11.4,15,1
191,4,2997358386,7,3,3,14,11.1,25,18
192,4,1265286624,7,3,3,13,20.1,27,0
193,4,4182505826,7,3,3,13,20.0,18,0
194,4,649514819,7,2,3,13,17.7,22,1
195,4,1386685842,7,2,3,13,17.6,16,1
196,4,535424687,7,5,3,13,17.6,48,6
197,4,2908836893,7,2,3,13,17.1,14,43
198,5,883236466,3,3,6,10,11.6,31,10
199,5,1996998052,3,3,6,10,11.5,35,5
200,5,2894758458,3,3,6,3,12.3,45,11
201,5,717617320,8,0,6,2,13.6,64,6
202,5,661610116,3,3,6,2,11.6,45,11
203,5,910083638,8,2,5,29,12.1,43,0
204,5,1629705544,3,3,5,25,16.8,45,11
205,5,3800863443,8,4,5,24,16.4,81,8
206,5,1757737035,3,3,5,21,9.3,45,11
207,5,1848775483,8,0,5,20,21.4,82,5
208,5,3451638447,1,3,5,14,13.3,35,1
209,5,1110920772,1,2,5,12,9.3,21,1
210,5,2332218233,1,1,5,6,17.4,12,4
211,5,3492010435,9,2,4,24,15.9,28,0
212,5,1177144105,5,3,4,15,13.8,27,2
213,5,2062289473,5,4,4,15,11.2,38,21
214,5,2968778704,3,1,4,14,17.7,9,5
215,5,3130796345,9,3,4,13,12.1,53,15
216,5,2935205045,5,5,4,13,11.5,39,8
217,6,3530931418,3,2,6,10,10.3,18,12
218,6,2892786459,3,1,6,4,20.7,17,3
219,6,1705707660,3,1,6,4,20.6,19,4
220,6,161735776,3,1,6,4,18.5,16,6
221,6,1878402016,3,1,6,4,16.3,14,5
222,6,4025563946,3,2,6,4,15.8,23,6
223,6,2118748897,3,1,5,29,9.8,16,3
224,6,4086107658,1,2,5,14,10.3,19,0
225,6,2122879182,1,1,5,13,16.9,9,14
226,6,277069803,1,3,5,13,12.8,44,0
227,6,1436838622,1,2,5,12,16.9,17,0
228,6,3396383661,1,1,5,8,14.3,26,0
229,6,339189368,1,2,5,8,13.4,24,1
230,6,1568680585,1,2,5,8,12.7,16,0
231,6,358232688,1,3,5,8,10.0,30,4
232,6,1015674267,1,2,5,7,9.9,32,0
233,6,2351693173,1,4,5,6,15.7,37,28
234,6,1107800304,1,2,5,6,14.5,27,23
235,6,3129145080,1,1,5,6,14.0,14,3
236,6,995978737,1,1,5,6,11.7,15,2
237,6,3211572382,1,4,5,6,9.6,56,4
238,6,1968601689,1,2,5,5,12.0,29,0
239,6,78395270,1,1,5,5,10.9,14,0
240,6,1481468063,1,1,5,1,12.1,18,27
241,6,2429475567,3,1,5,1,11.8,15,6
242,6,1349030960,1,1,4,30,13.0,15,0
243,6,2975518112,1,4,4,30,11.6,46,8
244,6,1127434576,1,2,4,30,11.1,16,0
245,6,1894729151,1,4,4,30,10.3,39,38
246,6,1861970943,1,3,4,30,10.2,28,32
247,6,3789544059,1,3,4,30,10.0,35,0
248,6,92998036,1,3,4,30,9.8,33,30
249,6,2572217112,1,3,4,30,9.5,21,3
250,6,1834123423,1,3,4,30,9.5,38,0
251,6,4078685421,1,2,4,30,9.4,15,31
252,6,4102780366,1,2,4,29,15.0,19,42
253,6,1241349175,1,6,4,29,14.8,57,32
254,6,3949782791,1,3,4,29,14.5,27,0
255,6,2043040576,1,3,4,29,8.9,28,38
256,6,2418769300,4,1,4,28,9.4,16,0
257,6,3383581960,1,1,4,24,19.6,56,7
258,6,3474951620,1,4,4,24,19.0,56,0
259,6,406363486,1,1,4,24,16.1,25,23
260,6,3632326285,1,1,4,24,14.5,10,0
261,6,641615878,4,2,4,24,11.7,26,3
262,6,2346779777,4,2,4,24,11.6,19,1
263,6,558452843,1,1,4,24,11.2,40,2
264,6,661148785,1,0,4,24,10.8,12,36
265,6,3416516657,1,3,4,24,10.8,27,0
266,6,323759749,1,1,4,24,10.6,37,0
267,6,3558408488,1,1,4,24,10.5,12,0
268,6,3568692369,1,2,4,24,10.4,17,0
269,6,612495751,1,3,4,23,21.0,36,2
270,6,3593869246,1,2,4,22,19.1,21,7
271,6,505464662,1,2,4,22,10.1,20,1
272,6,885122613,1,1,4,22,10.1,14,42
273,6,2268324764,3,2,4,20,8.7,16,37
274,6,3449710600,5,2,4,17,15.6,19,6
275,6,678908068,1,3,4,15,14.7,35,42
276,6,2471889271,1,3,4,15,14.6,20,0
277,6,260776200,5,3,4,15,13.9,41,2
278,6,2689435704,5,2,4,13,16.4,19,0
279,6,3710267568,5,4,4,13,11.4,41,8
280,6,105510332,5,3,4,10,16.2,42,9
281,6,2791978810,5,2,4,10,13.1,21,0
282,6,1599340882,10,0,4,9,11.8,9,36
283,6,1748830618,10,1,4,9,10.7,16,6
284,6,3907831192,5,4,4,8,15.8,37,20
285,6,3995069626,6,3,4,8,12.4,38,0
286,6,907360472,6,5,4,7,16.2,67,2
287,6,410556706,5,2,4,7,8.6,21,0
288,6,3132074799,5,2,4,6,12.8,19,6
289,6,258774390,5,3,4,3,12.1,29,1
290,6,1018649121,5,4,4,3,12.1,54,1
291,6,3902494087,5,2,4,3,11.3,15,1
292,6,507691257,5,4,4,2,14.5,38,12
293,6,1328478500,5,4,4,2,13.9,38,1
294,6,4141538862,5,4,4,2,13.8,28,12
295,6,364219708,5,2,4,2,13.5,14,1
296,6,382339003,5,3,4,1,18.1,39,2
297,6,2984606939,5,2,4,1,17.8,24,0
298,6,954538309,6,5,4,1,15.1,63,3
299,6,648019321,6,4,4,1,14.7,54,3
300,6,969227630,5,5,4,1,14.4,48,2
301,6,1624598209,5,2,4,1,13.8,23,2
302,6,377527716,5,4,4,1,13.3,33,45
303,6,2499833761,5,3,4,1,12.8,25,22
304,6,4182174021,5,1,4,1,12.4,15,1
305,6,3954026391,5,3,3,28,13.2,32,2
306,6,1471632078,5,3,3,28,12.9,36,2
307,6,3562881741,5,3,3,28,12.7,31,2
308,6,3919585973,5,3,3,28,12.7,26,1
309,6,2154198222,5,2,3,28,12.0,21,1
310,6,2463602316,6,1,3,23,13.7,17,33
311,6,2194969975,6,1,3,23,13.6,17,33
312,6,3180506493,7,1,3,23,13.1,19,0
313,6,943030392,7,1,3,23,13.1,16,0
314,6,1528744909,7,1,3,23,12.9,16,0
315,6,2750789459,7,2,3,23,12.5,28,0
316,6,3893713218,7,3,3,23,11.4,42,21
317,6,3880300369,7,1,3,23,11.3,19,1
318,6,2757181587,7,1,3,23,11.1,6,0
